bin,name,oked,industry,kato,settlement,krp,company_size,region,source_url
910140000121,"ГОС. УЧРЕЖДЕНИЕ ""ДЕПАРТАМЕНТ ВНУТРЕННИХ ДЕЛ СЕВЕРО-КАЗАХСТАНСКОЙ ОБЛАСТИ""",84240,Деятельность по обеспечению общественного порядка и безопасности,591010000,г. Петропавловск,311,Крупнейшее предприятие (от 1001 чел.),north-oblast,https://kazdata.kz/04/2015-kazakhstan-north-oblast-305-310-311.html
931240000210,"АО ""ПЕТРОПАВЛОВСКИЙ ЗАВОД ТЯЖЕЛОГО МАШИНОСТРОЕНИЯ""",28992,Производство нефтегазоперерабатывающего оборудования,591010000,г. Петропавловск,311,Крупнейшее предприятие (от 1001 чел.),north-oblast,https://kazdata.kz/04/2015-kazakhstan-north-oblast-305-310-311.html
931240000240,"АО ""ЗИКСТО""",30200,Производство железнодорожных локомотивов и подвижного состава (без ремонта),591010000,г. Петропавловск,311,Крупнейшая компания(от 1001 чел.),north-oblast,https://kazdata.kz/04/2015-kazakhstan-north-oblast-305-310-311.html
960340000702,"РЕСПУБЛИКАНСКОЕ ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""СЕВЕРО-КАЗАХСТАНСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ИМЕНИ МАНАША КОЗЫБАЕВА"" МИНИСТЕРСТВА ОБРАЗОВАНИЯ И НАУКИ РЕСПУБЛИКИ КАЗАХСТАН",85420,Высшее образование,591010000,г. Петропавловск,311,Крупнейшее предприятие (от 1001 чел.),north-oblast,https://kazdata.kz/04/2015-kazakhstan-north-oblast-305-310-311.html
970941000602,"СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТНАЯ ДИРЕКЦИЯ ТЕЛЕКОММУНИКАЦИЙ - Филиал АО ""КАЗАХТЕЛЕКОМ""",61100,Проводная телекоммуникационная связь,591010000,г. Петропавловск,311,Крупнейшее предприятие (от 1001 чел.),north-oblast,https://kazdata.kz/04/2015-kazakhstan-north-oblast-305-310-311.html
980440001669,"ДОЧЕРНЕЕ ПРЕДПРИЯТИЕ ""ПЕТРОПАВЛОВСКОЕ ОТДЕЛЕНИЕ"" ФЕДЕРАЛЬНОГО ГОСУДАРСТВЕННОГО УНИТАРНОГО ПРЕДПРИЯТИЯ ""ЮЖНО-УРАЛЬСКАЯ ЖЕЛЕЗНАЯ ДОРОГА"" МИНИСТЕРСТВА ПУТЕЙ СООБЩЕНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ",52211,Эксплуатация железных дорог,591010000,г. Петропавловск,311,Крупнейшее предприятие (от 1001 чел.),north-oblast,https://kazdata.kz/04/2015-kazakhstan-north-oblast-305-310-311.html
980741001497,"ФИЛИАЛ ""ЛОКОМОТИВНОЕ ДЕПО"" ДОЧЕРНЕГО ПРЕДПРИЯТИЯ ""ПЕТРОПАВЛОВСКОЕ ОТДЕЛЕНИЕ"" ФЕДЕРАЛЬНОГО ГОСУДАРСТВЕННОГО УНИТАРНОГО ПРЕДПРИЯТИЯ ""ЮЖНО-УРАЛЬСКАЯ ЖЕЛЕЗНАЯ ДОРОГА"" МИНИСТЕРСТВА ПУТЕЙ СООБЩЕНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ",52211,Эксплуатация железных дорог,591010000,г. Петропавловск,311,Крупнейшее предприятие (от 1001 чел.),north-oblast,https://kazdata.kz/04/2015-kazakhstan-north-oblast-305-310-311.html
990140000196,"АО ""СЕВЕРО-КАЗАХСТАНСКАЯ РАСПРЕДЕЛИТЕЛЬНАЯ ЭЛЕКТРОСЕТЕВАЯ КОМПАНИЯ""",35130,Распределение электроэнергии,591010000,г. Петропавловск,311,Крупнейшая компания (от 1001 чел.),north-oblast,https://kazdata.kz/04/2015-kazakhstan-north-oblast-305-310-311.html
