bin,name,oked,industry,kato,settlement,krp,company_size,region,source_url
010841003446,"АЛМАТИНСКИЙ ОБЛАСТНОЙ ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""КАЗПОЧТА""",53100,Почтовые услуги в соответствии с обязательствами по предоставлению услуг в зоне всеобщего охвата,191010000,г. Талдыкорган,311,Крупное предприятие (от 1001 чел.),almatinskaya-oblast,https://kazdata.kz/04/2015-kazakhstan-almatinskaya-oblast-305-310-311.html
931240000200,"АО ""ТРАНССТРОЙМОСТ""",42219,Строительство прочих распределительных инженерных сооружений,191610000,г. Капчагай,311,Крупная компания (от 1001 чел.),almatinskaya-oblast,https://kazdata.kz/04/2015-kazakhstan-almatinskaya-oblast-305-310-311.html
950341000391,"АЛМАТИНСКАЯ ОБЛАСТНАЯ ДИРЕКЦИЯ ТЕЛЕКОМУНИКАЦИЙ- ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""КАЗАХТЕЛЕКОМ""",61100,Проводная телекоммуникационная связь,191010000,г. Талдыкорган,311,Крупное предприятие (от 1001 чел.),almatinskaya-oblast,https://kazdata.kz/04/2015-kazakhstan-almatinskaya-oblast-305-310-311.html
970840001295,"ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""ДЕПАРТАМЕНТ ВНУТРЕННИХ ДЕЛ АЛМАТИНСКОЙ ОБЛАСТИ"" МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РЕСПУБЛИКИ КАЗАХСТАН",84240,Деятельность по обеспечению общественного порядка и безопасности,191010000,г. Талдыкорган,311,Крупная компания (от 1001 чел.),almatinskaya-oblast,https://kazdata.kz/04/2015-kazakhstan-almatinskaya-oblast-305-310-311.html
980140000600,"АО ""ТАЛДЫКОРГАНСКАЯ АКЦИОНЕРНАЯ ТРАНСПОРТНО-ЭЛЕКТРОСЕТЕВАЯ КОМПАНИЯ""",35140,Продажа электроэнергии потребителю,191010000,г. Талдыкорган,311,Крупная компания (от 1001 чел.),almatinskaya-oblast,https://kazdata.kz/04/2015-kazakhstan-almatinskaya-oblast-305-310-311.html
