bin,name,oked,industry,kato,settlement,krp,company_size,region,source_url
950341000210,"ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТНАЯ ДИРЕКЦИЯ ТЕЛЕКОММУНИКАЦИЙ-ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""КАЗАХТЕЛЕКОМ""",61100,Проводная телекоммуникационная связь,631010000,г. Усть-Каменогорск,311,Крупное предприятие (от 1001 чел.),east-oblast,https://kazdata.kz/04/2015-kazakhstan-east-oblast-305-310-311.html
950940000178,"АО ""УСТЬ-КАМЕНОГОРСКИЙ ТИТАНО-МАГНИЕВЫЙ КОМБИНАТ""",24452,"Производство титана и магния, вольфрама и молибдена",631010000,г. Усть-Каменогорск,311,Крупная компания (от 1001 чел.),east-oblast,https://kazdata.kz/04/2015-kazakhstan-east-oblast-305-310-311.html
951240000551,"АО ""ВОСТОКМАШЗАВОД""",24520,Литье стали,631010000,г. Усть-Каменогорск,311,Крупная компания (от 1001 чел.),east-oblast,https://kazdata.kz/04/2015-kazakhstan-east-oblast-305-310-311.html
970140000211,"ТОО ""КАЗЦИНК""",24430,"Производство свинца, цинка и олова",631010000,г. Усть-Каменогорск,311,Крупное предприятие (от 1001 чел.),east-oblast,https://kazdata.kz/04/2015-kazakhstan-east-oblast-305-310-311.html
990240001722,"РЕСПУБЛИКАНСКОЕ ГОС. ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""НАЦИОНАЛЬНЫЙ ЯДЕРНЫЙ ЦЕНТР РЕСПУБЛИКИ КАЗАХСТАН"" АГЕНТСТВА РЕСПУБЛИКИ КАЗАХСТАН ПО АТОМНОЙ ЭНЕРГИИ",72190,Прочие исследования и разработки в области естественных наук и инженерии,632210000,г. Курчатов,311,Крупное предприятие (от 1001 чел.),east-oblast,https://kazdata.kz/04/2015-kazakhstan-east-oblast-305-310-311.html
990240007414,"РЕСПУБЛИКАНСКОЕ ГОС. ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ВОСТОЧНО-КАЗАХСТАНСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ИМЕНИ САРСЕНА АМАНЖОЛОВА"" МИНИСТЕРСТВА ОБРАЗОВАНИЯ И НАУКИ РЕСПУБЛИКИ КАЗАХСТАН",85420,Высшее образование,631010000,г. Усть-Каменогорск,311,Крупное предприятие (от 1001 чел.),east-oblast,https://kazdata.kz/04/2015-kazakhstan-east-oblast-305-310-311.html
990340008684,"РЕСПУБЛИКАНСКОЕ ГОС. ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""ГОСУДАРСТВЕННЫЙ МЕДИЦИНСКИЙ УНИВЕРСИТЕТ ГОРОДА СЕМЕЙ"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РЕСПУБЛИКИ КАЗАХСТАН",85420,Высшее образование,632810000,г. Семей,311,Крупное предприятие (от 1001 чел.),east-oblast,https://kazdata.kz/04/2015-kazakhstan-east-oblast-305-310-311.html
990340009444,"РЕСПУБЛИКАНСКОЕ ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""ВОЙСКОВАЯ ЧАСТЬ 27943"" МИНИСТЕРСТВА ОБОРОНЫ РЕСПУБЛИКИ КАЗАХСТАН",84220,Оборонная деятельность,631000500,с. HОВО-АХМИРОВО,311,Крупное предприятие (от 1001 чел.),east-oblast,https://kazdata.kz/04/2015-kazakhstan-east-oblast-305-310-311.html
990540001228,"РЕСПУБЛИКАНСКОЕ ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""ВОЙСКОВАЯ ЧАСТЬ 10810"" МИНИСТЕРСТВА ОБОРОНЫ РЕСПУБЛИКИ КАЗАХСТАН",84220,Оборонная деятельность,631810000,г. Аягоз,311,Крупное предприятие (от 1001 чел.),east-oblast,https://kazdata.kz/04/2015-kazakhstan-east-oblast-305-310-311.html
990740000108,"АО ""УСТЬ-КАМЕНОГОРСКИЙ АРМАТУРНЫЙ ЗАВОД""",28140,Производство прочих кранов и вентилей,631010000,г. Усть-Каменогорск,311,Крупная компания (от 1001 чел.),east-oblast,https://kazdata.kz/04/2015-kazakhstan-east-oblast-305-310-311.html
